Sr No,Ex id,Stock Name,Ticker,Time-frame,Minimum candle history,At,atHour,End date,endHour,Level,Remarks,Entry,Target,Stop-loss,RR ratio,Type of trader,Classification,
2,5,Adani Ports,ADANIPORTS,60-minute,1/3/20,1/17/20,11:00,1/21/20,9:00,37,"{""X"":""394""}",389.2,378.05,394.75,2.009009009,Swing trader,,
3,5,Adani Ports,ADANIPORTS,60-minute,4/23/20,4/29/20,9:00,4/29/20,15:00,40,"{""X"":""270.55""}",273.95,284.3,268.8,2.009708738,Intraday trader,,
1,6,Varun Beverages,VBL,Daily,6/17/21,1/14/20,9:00,9/3/21,15:00,BR,"{""X"":""800""}",818.15,894.3,780,1.996068152,Swing trader,Assisted,
2,6,Varun Beverages,VBL,Daily,3/23/21,2/27/20,9:00,6/7/21,15:00,BR,"{""X"":""683.75\""}",690.1,740.85,664.7,1.998031496,BTST,Event,
3,6,Yes Bank,YESBANK,Daily,2/4/20,3/2/20,9:00,3/6/20,15:00,BS,"{""X"":""34.10""}",31.9,15.2,40.25,2,Swing trader,Assisted,
4,6,Wipro,WIPRO,Daily,6/5/20,6/1/20,9:00,7/15/20,15:00,BR,"{""X"":""226.40""}",227.6,252.65,215.25,2.028340081,BTST,Event,
5,6,Wipro,WIPRO,Daily,11/26/19,6/2/20,9:00,3/11/20,15:00,BS,"{""X"":""236.15""}",228.6,204.7,240.55,2,Swing trader,Event,
6,6,Ultratech Cement,ULTRACEMCO,Daily,3/4/21,7/13/20,9:00,7/29/21,15:00,BR,"{""X"":""6969.25""}",7102.05,7700.2,6803.1,2.00083626,Swing trader,Event,
7,6,Trent,TRENT,Daily,3/25/20,6/3/21,9:00,9/14/20,15:00,BR,"{""X"":""508.45""}",558,719.4,477.3,2,Positional Trader,Event,
8,6,Trent,TRENT,Daily,10/24/19,7/12/21,9:00,2/7/20,15:00,BR,"{""X"":""551.10""}",560.35,631.2,524.95,2.001412429,Swing trader,Event,
9,6,TCS,TCS,Daily,4/29/20,8/20/21,9:00,7/6/20,15:00,BR,"{""X"":""2019""}",2050,2241.5,1954.25,2,Swing trader,Event,
9,6,Tata Steel,TATASTEEL,Daily,3/17/20,6/12/20,9:00,7/17/20,15:00,BRR,"{""X"":""300""}",309.5,353.4,287.55,2,Swing trader,Assisted,
